SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,1,1,10,1,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Credit card (automatic),55.2,528.35,1
0,0,0,21,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,90.05,1862.9,0
1,0,0,1,0,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,39.65,39.65,1
0,1,0,12,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),19.8,202.25,0
0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.15,20.15,1
0,1,0,58,1,Yes,DSL,No,Yes,No,Yes,No,No,Two year,1,Credit card (automatic),59.9,3505.1,0
0,1,1,49,1,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,0,Credit card (automatic),59.6,2970.3,0
0,0,0,30,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),55.3,1530.6,0
0,1,1,47,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,99.35,4749.15,1
0,1,1,1,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,30.2,30.2,1
0,1,0,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),90.25,6369.45,0
0,0,1,17,1,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Mailed check,64.7,1093.1,1
1,1,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,1,Credit card (automatic),96.35,6766.95,0
1,1,0,2,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),95.5,181.65,0
0,1,1,27,1,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,0,Mailed check,66.15,1874.45,0
0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.2,20.2,0
1,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),45.25,45.25,0
0,1,1,72,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,0,Bank transfer (automatic),99.9,7251.7,0
0,0,0,5,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.7,316.9,1
0,0,0,46,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Credit card (automatic),74.8,3548.3,0
0,0,0,34,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,106.35,3549.25,1
0,0,0,11,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),97.85,1105.4,1
0,1,1,10,1,No,DSL,No,Yes,No,No,No,No,One year,0,Mailed check,49.55,475.7,0
0,1,1,70,1,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,1,Credit card (automatic),69.2,4872.35,0
0,1,1,17,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.75,418.25,0
0,0,0,63,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,1,Credit card (automatic),79.85,4861.45,0
0,1,0,13,1,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,1,Electronic check,76.2,981.45,0
0,0,0,49,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,84.5,3906.7,0
0,0,0,2,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,0,Mailed check,49.25,97.0,0
0,0,0,2,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,80.65,144.15,1
0,0,0,52,1,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,1,Credit card (automatic),79.75,4217.8,0
0,1,1,69,1,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,1,Credit card (automatic),64.15,4254.1,0
1,0,0,43,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,90.25,3838.75,0
0,0,0,15,1,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.1,1426.4,1
1,1,0,25,1,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,1,Credit card (automatic),69.5,1752.65,0
1,1,0,8,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Credit card (automatic),80.65,633.3,1
1,1,1,60,1,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,1,Credit card (automatic),74.85,4456.35,0
1,0,0,18,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.45,1752.55,1
0,1,1,63,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,1,Credit card (automatic),99.65,6311.2,0
1,1,1,66,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Electronic check,108.45,7076.35,0
0,1,1,34,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),24.95,894.3,0
0,0,0,72,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),107.5,7853.7,0
0,1,0,47,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,100.5,4707.1,0
0,0,0,60,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),89.9,5450.7,0
0,1,0,72,0,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,0,Bank transfer (automatic),42.1,2962.0,0
0,1,1,18,1,No,DSL,No,No,Yes,Yes,No,No,One year,1,Credit card (automatic),54.4,957.1,0
0,0,0,9,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,94.4,857.25,1
0,0,0,3,1,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,75.3,244.1,0
0,1,0,47,1,Yes,Fiber optic,No,Yes,No,No,No,No,One year,1,Electronic check,78.9,3650.35,0
0,0,0,31,1,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,79.2,2497.2,0
0,1,1,50,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.15,930.9,0
0,0,0,10,1,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,1,Mailed check,79.85,887.35,0
0,0,0,1,1,No,DSL,No,No,No,Yes,No,No,Month-to-month,0,Mailed check,49.05,49.05,0
0,1,1,52,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Electronic check,20.4,1090.65,0
1,1,1,64,1,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),111.6,7099.0,0
0,1,1,62,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),24.25,1424.6,0
0,0,1,3,1,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,1,Bank transfer (automatic),64.5,177.4,0
1,0,0,56,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,0,Electronic check,110.5,6139.5,0
0,0,0,46,1,No,DSL,No,No,No,No,No,Yes,One year,0,Credit card (automatic),55.65,2688.85,0
0,1,1,8,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,0,Mailed check,54.65,482.25,0
1,0,0,30,1,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,74.75,2111.3,0
0,1,1,45,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),25.9,1216.6,0
0,0,1,1,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,79.35,79.35,1
0,1,1,11,0,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,0,Electronic check,50.55,565.35,0
0,1,0,7,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),75.15,496.9,1
0,0,0,42,1,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.8,4327.5,0
0,1,0,49,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),20.15,973.35,0
0,0,0,9,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Credit card (automatic),99.3,918.75,0
0,1,0,35,1,No,DSL,Yes,No,No,No,Yes,No,One year,1,Bank transfer (automatic),62.15,2215.45,0
0,1,1,48,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.65,1057.0,0
0,1,1,46,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.95,927.1,0
0,1,0,29,0,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,0,Mailed check,33.75,1009.25,0
0,1,1,30,1,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,0,Bank transfer (automatic),82.05,2570.2,0
1,0,0,1,1,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,0,Electronic check,74.7,74.7,0
0,1,1,66,1,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,1,Mailed check,84.0,5714.25,0
0,0,0,65,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),111.05,7107.0,0
0,0,0,72,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,1,Bank transfer (automatic),100.9,7459.05,0
0,0,0,12,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,78.95,927.35,1
0,1,1,71,1,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,1,Credit card (automatic),66.85,4748.7,0
0,0,0,5,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,21.05,113.85,1
0,0,0,52,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),21.0,1107.2,0
1,1,0,25,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,98.5,2514.5,1
0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.2,20.2,0
0,1,1,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,19.45,19.45,0
0,0,0,38,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,0,Bank transfer (automatic),95.0,3605.6,0
1,1,0,66,0,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,0,Bank transfer (automatic),45.55,3027.25,0
0,1,0,68,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),110.0,7611.85,1
0,0,0,5,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,24.3,100.2,0
0,1,1,72,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,1,Electronic check,104.15,7303.05,0
0,0,0,32,0,No phone service,DSL,Yes,No,No,No,No,No,One year,0,Mailed check,30.15,927.65,0
0,0,0,43,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,0,Mailed check,94.35,3921.3,0
0,1,1,72,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.4,1363.25,0
0,1,0,55,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,96.75,5238.9,1
0,0,0,52,1,No,DSL,Yes,No,Yes,Yes,No,No,One year,0,Credit card (automatic),57.95,3042.25,0
0,0,0,43,1,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,1,Electronic check,91.65,3954.1,0
1,1,0,37,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,76.5,2868.15,1
0,1,1,64,0,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,1,Electronic check,54.6,3423.5,0
0,1,1,3,1,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,0,Electronic check,89.85,248.4,0
0,0,0,36,0,No phone service,DSL,Yes,No,No,No,No,No,Two year,0,Bank transfer (automatic),31.05,1126.35,0
0,1,1,10,1,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,100.25,1064.65,1
0,0,0,41,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.65,835.15,0
0,1,1,27,1,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,1,Credit card (automatic),85.2,2151.6,0
0,1,1,56,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,Credit card (automatic),99.8,5515.45,0
0,0,0,6,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.7,112.75,0
0,0,0,3,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,74.4,229.55,1
0,1,1,7,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,50.7,350.35,0
0,1,1,4,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.85,62.9,0
0,0,0,33,1,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,1,Electronic check,88.95,3027.65,0
1,0,0,27,1,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,78.05,2135.5,1
0,1,0,72,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),23.55,1723.95,0
0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.75,19.75,0
1,0,0,71,0,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,1,Electronic check,56.45,3985.35,0
0,0,0,13,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,85.95,1215.65,0
0,1,1,25,0,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),58.6,1502.65,1
0,0,0,67,1,No,DSL,No,No,No,Yes,No,No,Two year,0,Bank transfer (automatic),50.55,3260.1,0
0,0,0,1,0,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,35.45,35.45,1
0,0,0,2,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,44.35,81.25,1
0,0,0,43,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),25.7,1188.2,0
0,0,0,23,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),75.0,1778.5,0
0,1,1,64,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.2,1277.75,0
0,0,1,57,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,19.6,1170.55,0
1,1,0,1,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,70.45,70.45,1
1,1,1,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),88.05,6425.65,0
0,0,0,8,1,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,0,Electronic check,71.15,563.65,1
0,1,0,61,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,1,Bank transfer (automatic),101.05,5971.25,0
0,0,0,64,1,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,1,Credit card (automatic),84.3,5289.05,0
1,1,0,71,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),23.95,1756.2,0
0,1,1,65,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,1,Credit card (automatic),99.05,6416.7,0
0,0,0,3,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.6,61.35,0
0,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,45.65,45.65,1
0,0,1,30,1,No,DSL,No,Yes,Yes,No,Yes,No,One year,0,Credit card (automatic),64.5,1929.95,0
0,1,1,15,1,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,1,Mailed check,69.5,1071.4,0
0,1,1,8,1,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,68.55,564.35,0
0,0,0,7,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,0,Mailed check,95.0,655.5,1
0,1,1,70,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,1,Credit card (automatic),108.15,7930.55,0
0,1,1,62,1,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Electronic check,86.1,5215.25,0
0,1,1,6,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.7,113.5,0
0,1,1,14,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Bank transfer (automatic),80.9,1152.8,0
0,0,0,22,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),84.15,1821.95,0
0,1,1,22,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.15,419.9,0
0,1,1,16,1,No,DSL,Yes,No,Yes,No,Yes,No,Two year,0,Mailed check,64.25,1024.0,0
0,0,0,10,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),25.7,251.6,0
0,0,1,13,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Electronic check,56.0,764.55,0
0,1,0,20,1,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Electronic check,82.4,1592.35,1
0,0,0,2,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.7,135.2,0
0,0,0,53,1,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,1,Bank transfer (automatic),73.9,3958.25,0
0,1,1,11,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.6,233.9,0
0,1,0,69,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.9,1363.45,0
0,0,0,4,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),70.9,273.0,1
0,1,0,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),89.05,6254.45,0
1,1,0,58,0,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,45.3,2651.2,1
0,1,1,16,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,20.4,321.4,0
0,1,0,43,1,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,1,Bank transfer (automatic),84.25,3539.25,0
0,1,0,2,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,104.4,242.8,1
0,1,0,14,1,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,81.95,1181.75,0
0,1,0,53,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,1,Bank transfer (automatic),94.85,5000.2,1
0,0,0,32,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),20.55,654.55,0
0,1,0,34,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Electronic check,24.7,780.2,0
1,0,0,15,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,74.45,1145.7,1
1,0,0,7,1,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),76.45,503.6,1
0,1,1,15,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),105.35,1559.25,0
0,1,0,61,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Credit card (automatic),20.55,1252.0,0
0,0,0,1,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,0,Bank transfer (automatic),29.95,29.95,1
0,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,45.3,45.3,0
0,0,0,8,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Bank transfer (automatic),84.5,662.65,1
0,1,1,33,1,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,0,Credit card (automatic),74.75,2453.3,0
0,0,0,13,1,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,Electronic check,79.25,1111.65,1
0,1,0,1,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,24.8,24.8,1
0,0,0,20,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,1,Mailed check,51.8,1023.85,0
0,0,0,3,0,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,0,Electronic check,30.4,82.15,0
0,0,0,13,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,19.65,244.8,0
0,1,0,40,1,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,0,Credit card (automatic),56.6,2379.1,0
0,1,1,43,1,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,1,Credit card (automatic),71.9,3173.35,0
0,1,0,6,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,91.0,531.0,1
0,1,1,69,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.75,1375.4,0
0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,0,Credit card (automatic),109.7,8129.3,0
0,1,1,59,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),19.3,1192.7,0
0,1,0,20,1,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,1,Electronic check,96.55,1901.65,0
0,1,1,24,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),24.1,587.4,0
0,0,0,59,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,111.35,6519.75,0
0,1,1,72,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),112.25,8041.65,0
0,0,1,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.75,20.75,0
0,1,0,27,1,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,1,Credit card (automatic),101.9,2681.15,0
0,0,0,14,1,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,1,Credit card (automatic),80.05,1112.3,0
0,1,1,71,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,0,Electronic check,105.55,7405.5,0
0,0,1,13,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Credit card (automatic),78.3,1033.95,0
0,0,0,44,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,0,Credit card (automatic),68.85,2958.95,0
0,0,0,33,1,No,Fiber optic,No,Yes,No,Yes,No,No,One year,1,Bank transfer (automatic),79.95,2684.85,0
0,1,1,72,0,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,1,Credit card (automatic),55.45,4179.2,0
0,0,0,1,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,79.9,79.9,1
0,0,0,19,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,106.6,1934.45,1
0,1,0,64,1,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Credit card (automatic),102.45,6654.1,0
0,0,0,2,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Credit card (automatic),46.0,84.5,1
0,0,0,1,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,25.25,25.25,0
0,0,1,61,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,19.75,1124.2,0
0,1,1,29,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,20.0,540.05,0
1,1,0,23,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,0,Electronic check,86.8,1975.85,0
